date,region,product,units_sold,price,revenue,promotion_flag,discount_pct,temperature,rainfall_mm,is_holiday
09-01-2024,South,Cola_Classic,1208,34.1,41188.56,1,14.76,23.36,0.01,0
09-01-2024,South,Cola_Zero,596,45,26820,0,0,27.2,3.14,0
09-01-2024,East,Cola_Classic,905,40,36200,0,0,23.86,1.35,0
09-01-2024,East,Cola_Zero,746,45,33570,0,0,26.78,0.84,0
09-01-2024,West,Cola_Classic,1044,40,41760,0,0,25.27,0.96,0
09-01-2024,West,Cola_Zero,856,38.39,32858.92,1,14.7,27.11,1.04,0
10-01-2024,North,Cola_Classic,1281,36.72,47034,1,8.21,29.09,0.41,0
10-01-2024,North,Cola_Zero,723,45,32535,0,0,24.32,0.98,0
10-01-2024,South,Cola_Classic,944,36.74,34683.54,1,8.15,16.58,3.09,0
10-01-2024,South,Cola_Zero,566,45,25470,0,0,21.63,0.34,0
10-01-2024,East,Cola_Classic,854,40,34160,0,0,22.58,1.11,0
10-01-2024,East,Cola_Zero,657,45,29565,0,0,25.37,1.95,0
10-01-2024,West,Cola_Classic,1012,40,40480,0,0,24.11,0.51,0
10-01-2024,West,Cola_Zero,664,45,29880,0,0,24.56,0.86,0
11-01-2024,North,Cola_Classic,1008,40,40320,0,0,23.76,0.11,0
11-01-2024,North,Cola_Zero,731,45,32895,0,0,27.72,0.53,0
11-01-2024,South,Cola_Classic,1004,40,40160,0,0,27.93,2.91,0
11-01-2024,South,Cola_Zero,734,42.3,31046.21,1,6.01,22.49,0.01,0
11-01-2024,East,Cola_Classic,918,40,36720,0,0,25.78,3.1,0
11-01-2024,East,Cola_Zero,530,45,23850,0,0,23.84,1.56,0
11-01-2024,West,Cola_Classic,1059,40,42360,0,0,23.97,0.29,0
11-01-2024,West,Cola_Zero,628,45,28260,0,0,24.98,0.16,0
12-01-2024,North,Cola_Classic,1131,35.48,40123.87,1,11.31,21.37,2.74,0
12-01-2024,North,Cola_Zero,1005,36.92,37099.79,1,17.97,27.87,0.01,0
12-01-2024,South,Cola_Classic,1030,40,41200,0,0,24.3,0.8,0
12-01-2024,South,Cola_Zero,757,45,34065,0,0,26.08,0.78,0
12-01-2024,East,Cola_Classic,1130,37.28,42126.7,1,6.8,23.21,0.48,0
12-01-2024,East,Cola_Zero,600,45,27000,0,0,25.8,0.76,0
12-01-2024,West,Cola_Classic,971,40,38840,0,0,26.16,0.21,0
12-01-2024,West,Cola_Zero,790,45,35550,0,0,30.3,0.13,0
13-01-2024,North,Cola_Classic,976,40,39040,0,0,20.04,0.5,0
13-01-2024,North,Cola_Zero,733,45,32985,0,0,26.36,1.17,0
13-01-2024,South,Cola_Classic,1068,40,42720,0,0,26.11,1.1,0
13-01-2024,South,Cola_Zero,745,45,33525,0,0,20.05,0.81,0
13-01-2024,East,Cola_Classic,1053,40,42120,0,0,26.17,0.21,0
13-01-2024,East,Cola_Zero,648,45,29160,0,0,24.17,0.38,0
13-01-2024,West,Cola_Classic,1024,40,40960,0,0,25.57,0.36,0
13-01-2024,West,Cola_Zero,626,45,28170,0,0,25.1,0.17,0
14-01-2024,North,Cola_Classic,941,40,37640,0,0,25.77,1.75,0
14-01-2024,North,Cola_Zero,506,45,22770,0,0,21.56,1.57,0
14-01-2024,South,Cola_Classic,1099,40,43960,0,0,29.19,0.82,0
14-01-2024,South,Cola_Zero,657,45,29565,0,0,25.68,2.05,0
14-01-2024,East,Cola_Classic,1470,32.44,47687.39,1,18.9,26.68,1.52,0
14-01-2024,East,Cola_Zero,692,45,31140,0,0,19.84,0.4,0
14-01-2024,West,Cola_Classic,1173,35.28,41379.22,1,11.81,23.13,1.96,0
14-01-2024,West,Cola_Zero,672,45,30240,0,0,18.29,0.56,0
15-01-2024,North,Cola_Classic,1068,40,42720,0,0,29.25,0.49,0
15-01-2024,North,Cola_Zero,662,45,29790,0,0,24.91,0.03,0
15-01-2024,South,Cola_Classic,1069,40,42760,0,0,28.72,0.87,0
15-01-2024,South,Cola_Zero,745,45,33525,0,0,30.72,0.1,0
15-01-2024,East,Cola_Classic,1028,40,41120,0,0,24.27,0.99,0
15-01-2024,East,Cola_Zero,855,39.3,33597.49,1,12.68,22.09,0.37,0
15-01-2024,West,Cola_Classic,1049,40,41960,0,0,26.01,0.25,0
15-01-2024,West,Cola_Zero,666,45,29970,0,0,24.21,0.52,0
16-01-2024,North,Cola_Classic,912,40,36480,0,0,22.22,0.45,0
16-01-2024,North,Cola_Zero,921,37.47,34505.3,1,16.74,27.49,0.42,0
16-01-2024,South,Cola_Classic,1033,40,41320,0,0,24.1,2.47,0
16-01-2024,South,Cola_Zero,857,36.13,30964.47,1,19.71,21.63,0.4,0
16-01-2024,East,Cola_Classic,1146,36,41257.79,1,10,19,0.5,0
16-01-2024,East,Cola_Zero,715,45,32175,0,0,28.54,0.05,0
16-01-2024,West,Cola_Classic,1431,34.01,48664.25,1,14.98,29.55,0.35,0
16-01-2024,West,Cola_Zero,696,45,31320,0,0,23.1,0.63,0
17-01-2024,North,Cola_Classic,1064,40,42560,0,0,23.33,0.75,0
17-01-2024,North,Cola_Zero,794,45,35730,0,0,28.32,1.54,0
17-01-2024,South,Cola_Classic,1042,40,41680,0,0,23.1,0.53,0
17-01-2024,South,Cola_Zero,731,45,32895,0,0,26.96,2.3,0
17-01-2024,East,Cola_Classic,1093,40,43720,0,0,26.8,0.68,0
17-01-2024,East,Cola_Zero,610,45,27450,0,0,21.25,0.46,0
17-01-2024,West,Cola_Classic,998,40,39920,0,0,22.38,0.17,0
17-01-2024,West,Cola_Zero,687,45,30915,0,0,28.22,2.37,0
18-01-2024,North,Cola_Classic,1128,40,45120,0,0,29.29,0.76,0
18-01-2024,North,Cola_Zero,594,45,26730,0,0,24.82,0.5,0
18-01-2024,South,Cola_Classic,1142,40,45680,0,0,24.73,0.32,0
18-01-2024,South,Cola_Zero,732,45,32940,0,0,26.99,1.05,0
18-01-2024,East,Cola_Classic,1005,40,40200,0,0,19.31,0.14,0
18-01-2024,East,Cola_Zero,780,45,35100,0,0,32.2,2.75,0
18-01-2024,West,Cola_Classic,1210,37.09,44876.53,1,7.28,27.67,4.29,0
18-01-2024,West,Cola_Zero,741,45,33345,0,0,25.86,2.07,0
19-01-2024,North,Cola_Classic,1160,40,46400,0,0,27.68,1.28,0
19-01-2024,North,Cola_Zero,739,45,33255,0,0,32.41,0.08,0
19-01-2024,South,Cola_Classic,974,40,38960,0,0,26.97,0.33,0
19-01-2024,South,Cola_Zero,650,45,29250,0,0,23.92,1.85,0
19-01-2024,East,Cola_Classic,1046,40,41840,0,0,26.61,3.77,0
19-01-2024,East,Cola_Zero,617,45,27765,0,0,27.34,0.09,0
19-01-2024,West,Cola_Classic,1120,40,44800,0,0,25.77,0.07,0
19-01-2024,West,Cola_Zero,699,45,31455,0,0,25.56,2.58,0
20-01-2024,North,Cola_Classic,904,40,36160,0,0,23.29,1.27,0
20-01-2024,North,Cola_Zero,848,39.81,33761.54,1,11.53,27.26,0.11,0
20-01-2024,South,Cola_Classic,1034,37.04,38303.66,1,7.39,20.47,0.92,0
20-01-2024,South,Cola_Zero,668,45,30060,0,0,27.95,1.08,0
20-01-2024,East,Cola_Classic,986,40,39440,0,0,23.55,0.14,0
20-01-2024,East,Cola_Zero,704,45,31680,0,0,24.07,0.47,0
20-01-2024,West,Cola_Classic,1281,34.29,43929.47,1,14.27,22.65,1.26,0
20-01-2024,West,Cola_Zero,700,45,31500,0,0,25.1,1.19,0
21-01-2024,North,Cola_Classic,950,40,38000,0,0,23.21,0.49,0
21-01-2024,North,Cola_Zero,659,45,29655,0,0,23.42,1.39,0
21-01-2024,South,Cola_Classic,1027,40,41080,0,0,26.79,1.36,0
21-01-2024,South,Cola_Zero,669,45,30105,0,0,25.39,0.52,0
21-01-2024,East,Cola_Classic,1071,40,42840,0,0,22.32,0.1,0
21-01-2024,East,Cola_Zero,845,37.5,31683.42,1,16.68,25.12,0.09,0
21-01-2024,West,Cola_Classic,1174,34.32,40293.93,1,14.2,25.02,1.33,0
21-01-2024,West,Cola_Zero,568,45,25560,0,0,22.95,0.25,0
22-01-2024,North,Cola_Classic,1125,40,45000,0,0,30.55,3.32,0
22-01-2024,North,Cola_Zero,832,38.9,32366.17,1,13.55,25.18,1.44,0
22-01-2024,South,Cola_Classic,1184,40,47360,0,0,28.12,0.1,0
22-01-2024,South,Cola_Zero,687,45,30915,0,0,26.36,1.62,0
22-01-2024,East,Cola_Classic,1054,40,42160,0,0,26.88,1.11,0
22-01-2024,East,Cola_Zero,592,45,26640,0,0,18.22,1.31,0
22-01-2024,West,Cola_Classic,1006,40,40240,0,0,18.15,0.32,0
22-01-2024,West,Cola_Zero,736,41,30178.52,1,8.88,22.37,1.73,0
23-01-2024,North,Cola_Classic,1076,40,43040,0,0,28.52,0.42,0
23-01-2024,North,Cola_Zero,642,45,28890,0,0,26.91,0.95,0
23-01-2024,South,Cola_Classic,1010,40,40400,0,0,24.85,1.18,0
23-01-2024,South,Cola_Zero,708,45,31860,0,0,30.34,0.74,0
23-01-2024,East,Cola_Classic,1292,37.03,47836.61,1,7.44,24.34,0.22,0
23-01-2024,East,Cola_Zero,594,45,26730,0,0,22.7,0.47,0
23-01-2024,West,Cola_Classic,842,40,33680,0,0,22.03,1.36,0
23-01-2024,West,Cola_Zero,819,41.68,34135.71,1,7.38,27.65,0.12,0
24-01-2024,North,Cola_Classic,1090,40,43600,0,0,26.89,0.11,0
24-01-2024,North,Cola_Zero,665,45,29925,0,0,25.54,0.2,0
24-01-2024,South,Cola_Classic,1104,35.74,39460.38,1,10.64,23.86,0.95,0
24-01-2024,South,Cola_Zero,626,45,28170,0,0,27.28,6.92,0
24-01-2024,East,Cola_Classic,1035,40,41400,0,0,26.15,0.92,0
24-01-2024,East,Cola_Zero,752,45,33840,0,0,21.55,0.81,0
24-01-2024,West,Cola_Classic,1030,40,41200,0,0,25.45,0.61,0
24-01-2024,West,Cola_Zero,659,45,29655,0,0,26.24,3.55,0
25-01-2024,North,Cola_Classic,1387,34.74,48189.04,1,13.14,33.15,0.68,0
25-01-2024,North,Cola_Zero,839,38.22,32070.59,1,15.06,23.94,0.41,0
25-01-2024,South,Cola_Classic,950,40,38000,0,0,23.05,1.06,0
25-01-2024,South,Cola_Zero,923,36.46,33654.1,1,18.97,29.57,0.76,0
25-01-2024,East,Cola_Classic,1183,35.45,41933.76,1,11.38,25.27,0.19,0
25-01-2024,East,Cola_Zero,859,39.19,33666.79,1,12.9,27.64,0.98,0
25-01-2024,West,Cola_Classic,924,40,36960,0,0,25.04,2.01,0
25-01-2024,West,Cola_Zero,913,36.25,33097.62,1,19.44,24.53,0.08,0
26-01-2024,North,Cola_Classic,1085,37.15,40313.17,1,7.11,25.42,0.53,0
26-01-2024,North,Cola_Zero,559,45,25155,0,0,16.88,0.55,0
26-01-2024,South,Cola_Classic,1099,35.63,39155.88,1,10.93,21.34,0.22,0
26-01-2024,South,Cola_Zero,773,41.76,32280.67,1,7.2,24.21,2.3,0
26-01-2024,East,Cola_Classic,1260,34.51,43480.17,1,13.73,21.35,0.85,0
26-01-2024,East,Cola_Zero,700,45,31500,0,0,29.26,0.28,0
26-01-2024,West,Cola_Classic,1211,35.74,43286.84,1,10.64,27.08,1.14,0
26-01-2024,West,Cola_Zero,686,45,30870,0,0,26.36,0.29,0
27-01-2024,North,Cola_Classic,1027,40,41080,0,0,24.65,0.13,0
27-01-2024,North,Cola_Zero,719,45,32355,0,0,27.99,1.57,0
27-01-2024,South,Cola_Classic,970,40,38800,0,0,24.41,0.46,0
27-01-2024,South,Cola_Zero,618,45,27810,0,0,25.15,2.32,0
27-01-2024,East,Cola_Classic,1134,40,45360,0,0,26.88,0.23,0
27-01-2024,East,Cola_Zero,758,45,34110,0,0,26.58,0.86,0
27-01-2024,West,Cola_Classic,986,40,39440,0,0,23.81,0.13,0
27-01-2024,West,Cola_Zero,628,45,28260,0,0,21.94,0.13,0
28-01-2024,North,Cola_Classic,1181,40,47240,0,0,28.57,0.6,0
28-01-2024,North,Cola_Zero,705,42.41,29901.76,1,5.75,26.49,0.15,0
28-01-2024,South,Cola_Classic,997,40,39880,0,0,26.32,2.15,0
28-01-2024,South,Cola_Zero,831,41.98,34888.03,1,6.7,29.19,0.18,0
28-01-2024,East,Cola_Classic,975,40,39000,0,0,24.7,2.54,0
28-01-2024,East,Cola_Zero,626,45,28170,0,0,24.72,1.9,0
28-01-2024,West,Cola_Classic,1045,40,41800,0,0,27.27,0.13,0
28-01-2024,West,Cola_Zero,753,45,33885,0,0,25.7,1.79,0
29-01-2024,North,Cola_Classic,1052,40,42080,0,0,24.97,0.85,0
29-01-2024,North,Cola_Zero,742,45,33390,0,0,26.76,0.22,0
29-01-2024,South,Cola_Classic,1008,40,40320,0,0,25.42,0.96,0
29-01-2024,South,Cola_Zero,856,37.79,32346.11,1,16.03,26.53,0.54,0
29-01-2024,East,Cola_Classic,975,40,39000,0,0,28.34,3.22,0
29-01-2024,East,Cola_Zero,585,45,26325,0,0,26.18,1.67,0
29-01-2024,West,Cola_Classic,1157,40,46280,0,0,31.08,0.28,0
29-01-2024,West,Cola_Zero,679,45,30555,0,0,26.54,0.12,0
30-01-2024,North,Cola_Classic,908,40,36320,0,0,24.48,0.36,0
30-01-2024,North,Cola_Zero,651,45,29295,0,0,27.62,0.46,0
30-01-2024,South,Cola_Classic,950,40,38000,0,0,31.29,0.78,0
30-01-2024,South,Cola_Zero,757,40.27,30486.15,1,10.51,26.13,0.16,0
30-01-2024,East,Cola_Classic,964,40,38560,0,0,19.37,0.15,0
30-01-2024,East,Cola_Zero,725,45,32625,0,0,22.45,0.28,0
30-01-2024,West,Cola_Classic,965,40,38600,0,0,21.44,0.17,0
30-01-2024,West,Cola_Zero,688,45,30960,0,0,24.48,0.48,0
31-01-2024,North,Cola_Classic,923,40,36920,0,0,25.66,2.14,0
31-01-2024,North,Cola_Zero,735,42.07,30922.36,1,6.51,27.76,0.29,0
31-01-2024,South,Cola_Classic,1018,40,40720,0,0,26.1,2.14,0
31-01-2024,South,Cola_Zero,731,45,32895,0,0,23.58,0.1,0
31-01-2024,East,Cola_Classic,1086,34.42,37381.56,1,13.95,22.19,3.71,0
31-01-2024,East,Cola_Zero,840,37.28,31318.44,1,17.15,26.09,0.24,0
31-01-2024,West,Cola_Classic,945,37.69,35614.65,1,5.78,22.25,1.74,0
31-01-2024,West,Cola_Zero,850,40.22,34185.98,1,10.62,28.63,0.02,0
01-02-2024,North,Cola_Classic,1426,32.32,46086.36,1,19.2,23,0.65,0
01-02-2024,North,Cola_Zero,701,45,31545,0,0,20.96,1.06,0
01-02-2024,South,Cola_Classic,1141,40,45640,0,0,26.69,0.7,0
01-02-2024,South,Cola_Zero,733,45,32985,0,0,25.53,0.5,0
01-02-2024,East,Cola_Classic,1429,32.91,47033.32,1,17.72,28.44,0.03,0
01-02-2024,East,Cola_Zero,821,45,36945,0,0,27.99,0.44,0
01-02-2024,West,Cola_Classic,1087,36.58,39767.88,1,8.54,19.67,0.42,0
01-02-2024,West,Cola_Zero,1165,38.05,44325.2,1,15.45,27.46,0.17,0
02-02-2024,North,Cola_Classic,1163,40,46520,0,0,26.64,1.7,0
02-02-2024,North,Cola_Zero,727,45,32715,0,0,22.56,0.11,0
02-02-2024,South,Cola_Classic,1039,40,41560,0,0,19.87,1.03,0
02-02-2024,South,Cola_Zero,744,45,33480,0,0,28.08,0.23,0
02-02-2024,East,Cola_Classic,1191,40,47640,0,0,25.51,2.39,0
02-02-2024,East,Cola_Zero,902,45,40590,0,0,29.26,1.08,0
02-02-2024,West,Cola_Classic,1432,33.64,48179.47,1,15.89,22.97,0.49,0
02-02-2024,West,Cola_Zero,764,45,34380,0,0,26.62,0.21,0
03-02-2024,North,Cola_Classic,1170,40,46800,0,0,28.16,2.65,0
03-02-2024,North,Cola_Zero,714,45,32130,0,0,24.62,0.5,0
03-02-2024,South,Cola_Classic,1218,35.41,43133.8,1,11.47,22.04,0.51,0
03-02-2024,South,Cola_Zero,814,42.2,34353.36,1,6.22,26.4,0.44,0
03-02-2024,East,Cola_Classic,1113,40,44520,0,0,24.11,0.69,0
03-02-2024,East,Cola_Zero,729,45,32805,0,0,20.53,1.05,0
03-02-2024,West,Cola_Classic,1240,37.49,46483.96,1,6.28,26.57,1,0
03-02-2024,West,Cola_Zero,691,45,31095,0,0,20.58,0.22,0
04-02-2024,North,Cola_Classic,1420,33.43,47471.67,1,16.42,21.87,0.13,0
04-02-2024,North,Cola_Zero,716,42.71,30580.58,1,5.09,20.52,0.84,0
04-02-2024,South,Cola_Classic,1170,40,46800,0,0,27.53,0.92,0
04-02-2024,South,Cola_Zero,772,45,34740,0,0,22.4,0.57,0
04-02-2024,East,Cola_Classic,1012,40,40480,0,0,22.77,1.32,0
04-02-2024,East,Cola_Zero,808,39.18,31655.5,1,12.94,20.01,0.57,0
04-02-2024,West,Cola_Classic,1045,40,41800,0,0,23.91,0.71,0
04-02-2024,West,Cola_Zero,727,45,32715,0,0,24.92,2.04,0
05-02-2024,North,Cola_Classic,1424,32.98,46969.16,1,17.54,21.1,0.2,0
05-02-2024,North,Cola_Zero,749,45,33705,0,0,27.44,0.21,0
05-02-2024,South,Cola_Classic,1131,40,45240,0,0,24.89,1.03,0
05-02-2024,South,Cola_Zero,857,41.82,35840.54,1,7.06,28.36,2.69,0
05-02-2024,East,Cola_Classic,1055,40,42200,0,0,23.57,0.47,0
05-02-2024,East,Cola_Zero,799,45,35955,0,0,26.82,1.27,0
05-02-2024,West,Cola_Classic,1230,40,49200,0,0,29.75,0.59,0
05-02-2024,West,Cola_Zero,966,37.19,35924.84,1,17.36,23.32,1.06,0
06-02-2024,North,Cola_Classic,1329,35.72,47476.3,1,10.69,23.53,0.84,0
06-02-2024,North,Cola_Zero,781,45,35145,0,0,27.24,0.27,0
06-02-2024,South,Cola_Classic,1077,40,43080,0,0,22.37,0.62,0
06-02-2024,South,Cola_Zero,694,45,31230,0,0,26.26,1.38,0
06-02-2024,East,Cola_Classic,1099,40,43960,0,0,24.13,0.57,0
06-02-2024,East,Cola_Zero,778,45,35010,0,0,29.96,1.15,0
06-02-2024,West,Cola_Classic,1179,40,47160,0,0,26.57,0.43,0
06-02-2024,West,Cola_Zero,725,45,32625,0,0,20.39,1.05,0
07-02-2024,North,Cola_Classic,1476,35.24,52020.28,1,11.89,28.37,0.04,0
07-02-2024,North,Cola_Zero,657,45,29565,0,0,21.8,0.48,0
07-02-2024,South,Cola_Classic,1189,40,47560,0,0,25.65,0.35,0
07-02-2024,South,Cola_Zero,731,45,32895,0,0,29.27,0.59,0
07-02-2024,East,Cola_Classic,1495,32.87,49147.64,1,17.81,21.67,1.57,0
07-02-2024,East,Cola_Zero,701,45,31545,0,0,24.63,0.52,0
07-02-2024,West,Cola_Classic,1232,37.81,46578.25,1,5.48,25.87,1.34,0
07-02-2024,West,Cola_Zero,848,45,38160,0,0,28.68,0.77,0
08-02-2024,North,Cola_Classic,1418,34.66,49154.65,1,13.34,23.79,1.64,0
08-02-2024,North,Cola_Zero,676,45,30420,0,0,26.12,1.07,0
08-02-2024,South,Cola_Classic,978,40,39120,0,0,18.23,2.06,0
08-02-2024,South,Cola_Zero,1047,38.02,39806.67,1,15.51,28.79,0.46,0
08-02-2024,East,Cola_Classic,1178,40,47120,0,0,27.1,1.29,0
08-02-2024,East,Cola_Zero,801,45,36045,0,0,23.15,1.31,0
08-02-2024,West,Cola_Classic,1082,40,43280,0,0,27.25,1.16,0
08-02-2024,West,Cola_Zero,835,45,37575,0,0,30.37,1.46,0
09-02-2024,North,Cola_Classic,1375,35.87,49325.01,1,10.32,25.42,1.55,0
09-02-2024,North,Cola_Zero,850,45,38250,0,0,25.26,1.21,0
09-02-2024,South,Cola_Classic,987,40,39480,0,0,21.62,1.31,0
09-02-2024,South,Cola_Zero,775,45,34875,0,0,22.58,1.47,0
09-02-2024,East,Cola_Classic,1058,40,42320,0,0,26.92,0.82,0
09-02-2024,East,Cola_Zero,736,45,33120,0,0,24.17,0.55,0
09-02-2024,West,Cola_Classic,1053,40,42120,0,0,24.45,0.35,0
09-02-2024,West,Cola_Zero,941,40.09,37725.59,1,10.91,22.43,0.47,0
10-02-2024,North,Cola_Classic,1210,40,48400,0,0,26.95,1.7,0
10-02-2024,North,Cola_Zero,829,45,37305,0,0,26.68,0,0
10-02-2024,South,Cola_Classic,1288,40,51520,0,0,32.18,0.07,0
10-02-2024,South,Cola_Zero,961,45,43245,0,0,29.63,0.35,0
10-02-2024,East,Cola_Classic,1119,40,44760,0,0,22.35,0.43,0
10-02-2024,East,Cola_Zero,712,45,32040,0,0,23.09,0.36,0
10-02-2024,West,Cola_Classic,975,40,39000,0,0,20.42,0.7,0
10-02-2024,West,Cola_Zero,813,45,36585,0,0,25.58,0.21,0
11-02-2024,North,Cola_Classic,1236,37.79,46713.39,1,5.51,22.17,0.24,0
11-02-2024,North,Cola_Zero,674,45,30330,0,0,24.95,2.89,0
11-02-2024,South,Cola_Classic,1265,40,50600,0,0,28.81,2.05,0
11-02-2024,South,Cola_Zero,790,45,35550,0,0,29.06,1.69,0
11-02-2024,East,Cola_Classic,1300,33.78,43918.2,1,15.54,25.11,0.03,0
11-02-2024,East,Cola_Zero,794,45,35730,0,0,30.84,2.66,0
11-02-2024,West,Cola_Classic,993,40,39720,0,0,21.93,1.93,0
11-02-2024,West,Cola_Zero,685,45,30825,0,0,23.7,0.71,0
12-02-2024,North,Cola_Classic,1138,40,45520,0,0,25.5,1.21,0
12-02-2024,North,Cola_Zero,676,45,30420,0,0,21.88,3.48,0
12-02-2024,South,Cola_Classic,1333,36.88,49158.03,1,7.81,24.1,0.48,0
12-02-2024,South,Cola_Zero,797,45,35865,0,0,27.33,1.26,0
12-02-2024,East,Cola_Classic,1069,40,42760,0,0,22.62,1.22,0
12-02-2024,East,Cola_Zero,709,45,31905,0,0,25.86,0.97,0
12-02-2024,West,Cola_Classic,1088,40,43520,0,0,29.37,1.34,0
12-02-2024,West,Cola_Zero,765,45,34425,0,0,29.08,3.08,0
13-02-2024,North,Cola_Classic,1183,40,47320,0,0,29.62,0.95,0
13-02-2024,North,Cola_Zero,869,45,39105,0,0,28.88,0.9,0
13-02-2024,South,Cola_Classic,1177,40,47080,0,0,27.52,0.55,0
13-02-2024,South,Cola_Zero,851,36.19,30797.85,1,19.58,21.52,2.36,0
13-02-2024,East,Cola_Classic,1114,40,44560,0,0,25.94,0.93,0
