date,region,tv_spend,digital_spend,influencer_spend,outdoor_spend,radio_spend
11-01-2024,South,20183.94103,11014.71543,6317.508846,5050.615838,2643.232206
11-01-2024,East,30974.67579,16918.95198,6259.806298,7242.693095,4848.716885
11-01-2024,West,24744.98175,13253.99698,6732.457026,11496.32899,5396.893642
12-01-2024,North,33152.25785,15683.08603,3468.373839,8677.158031,3060.809471
12-01-2024,South,24879.79287,19730.10555,4965.488623,13920.46555,4524.554504
12-01-2024,East,35896.22607,15026.37093,5884.519423,9925.176938,2780.971951
12-01-2024,West,34449.04231,12807.72362,3121.579832,11454.72296,2708.442718
13-01-2024,North,38809.17169,19539.28577,7574.321951,8701.587003,2061.826466
13-01-2024,South,38566.37125,14281.84148,7833.274095,14636.19977,5412.037822
13-01-2024,East,25888.97784,13850.97729,7255.683358,8169.220052,2677.970987
13-01-2024,West,31136.02525,19361.54774,6480.148983,10700.6117,2388.705975
14-01-2024,North,32300.14453,19900.5385,3700.420076,10183.29652,5509.492288
14-01-2024,South,34815.37236,16970.15741,6512.42042,8594.911512,3174.367377
14-01-2024,East,36187.22311,18101.13395,7335.361593,14132.40553,4045.369595
14-01-2024,West,30030.32589,17982.95179,6249.819654,12019.66877,5183.170678
15-01-2024,North,37800.10684,13379.95157,4877.914763,5939.819398,4313.120564
15-01-2024,South,20718.84548,14655.98018,5713.223174,7865.412521,4363.333042
15-01-2024,East,20610.005,10373.48189,7113.002803,8601.906414,2508.242051
15-01-2024,West,30444.8652,17699.93553,4079.105137,11228.90476,2341.38986
16-01-2024,North,21033.63442,15313.54632,5703.175608,11374.29901,4904.365335
16-01-2024,South,39517.04159,15163.00348,4614.782365,12951.86195,3083.329005
16-01-2024,East,28779.42841,10784.56381,3126.753717,14626.48415,5343.920482
16-01-2024,West,33919.48412,14089.52944,3866.4716,6564.370427,3000.971593
17-01-2024,North,30984.53329,17145.95923,6300.986884,7799.338969,5819.461123
17-01-2024,South,34757.93833,15543.54053,6058.603731,9196.000624,2990.923958
17-01-2024,East,27119.45357,17578.4611,3071.967443,6160.726405,2184.010568
17-01-2024,West,20814.57605,18554.60584,6518.289297,9741.738291,2391.336643
18-01-2024,North,29832.3175,14734.71771,3866.00935,9338.516492,3594.018938
18-01-2024,South,32317.00196,16350.93651,3226.520049,8746.126146,4503.439663
18-01-2024,East,30062.72517,18564.89841,6293.468158,6629.344271,2282.27499
18-01-2024,West,32848.38556,10265.11311,5928.877906,14402.30241,4301.896712
19-01-2024,North,27763.39852,16432.88218,5291.264452,10456.16789,5765.859235
19-01-2024,South,27722.05276,19611.90564,7526.75321,6957.911348,2277.445204
19-01-2024,East,22015.56003,10182.21826,3472.214804,11830.06773,2284.754594
19-01-2024,West,26379.51261,18448.75311,3116.359679,13144.68483,3127.419099
20-01-2024,North,22363.29655,16967.37165,6144.714234,13774.72014,4940.284175
20-01-2024,South,36069.61861,12820.34573,3887.197719,12506.14752,5227.338957
20-01-2024,East,39810.10284,14126.17677,4860.090429,12764.12961,3363.214161
20-01-2024,West,38615.14651,18584.12752,5144.970137,12508.71068,5018.171496
21-01-2024,North,22062.47738,19025.52907,5526.261862,13264.57466,3280.198404
21-01-2024,South,37910.46457,13892.01679,3054.188257,14053.81976,2365.146707
21-01-2024,East,26386.27275,19500.61967,7753.035735,10734.37888,4527.348849
21-01-2024,West,28968.91044,12932.10772,4643.322727,11725.18456,5009.498118
22-01-2024,North,35831.58087,17896.18143,3456.030515,9944.203047,2230.23504
22-01-2024,South,30990.57765,14415.30501,7438.520914,8509.150126,2468.268066
22-01-2024,East,22859.83364,17615.10632,6091.090317,6011.226761,2336.427224
22-01-2024,West,34019.38263,10727.63006,7109.300296,12062.42227,2325.395123
23-01-2024,North,21696.75428,19866.39579,4871.353979,8706.421471,5251.198269
23-01-2024,South,38944.97155,19860.01064,6766.890926,8762.595855,2334.002867
23-01-2024,East,35542.93832,15584.0425,5121.110046,14063.54385,2444.789929
23-01-2024,West,29852.50209,10113.53645,5343.30321,5563.032757,2475.271665
24-01-2024,North,22350.52494,16492.10302,6730.224396,10833.68765,5848.690194
24-01-2024,South,27497.41159,12857.12086,7342.995641,7235.958385,5852.890158
24-01-2024,East,20243.08949,19698.78827,3215.79956,13911.43114,4110.804436
24-01-2024,West,39859.29592,10737.96565,5769.271422,14693.02536,4092.391377
25-01-2024,North,32587.97276,16957.48689,5272.705324,11275.5808,4337.257248
25-01-2024,South,38023.16021,10454.4638,4404.815948,14504.11484,5561.055136
25-01-2024,East,29113.13506,16201.32598,4386.905915,6881.211597,3854.79362
25-01-2024,West,27067.04456,15836.56112,3388.673185,14743.94808,5944.842978
26-01-2024,North,33963.23428,15360.96366,4547.638081,13137.9502,4738.92469
26-01-2024,South,23252.33879,19109.27184,7112.686215,14497.99913,4902.878034
26-01-2024,East,32268.30392,14182.43036,7663.642417,13660.6389,2180.87468
26-01-2024,West,20527.33949,13764.63367,7052.766654,14872.76129,2601.667564
27-01-2024,North,31882.61431,13808.90857,7849.571989,13421.18923,5353.314819
27-01-2024,South,29373.8632,14148.19502,4367.03536,5563.754967,5458.889505
27-01-2024,East,36258.02018,19997.17673,7983.184185,10554.31706,5075.949661
27-01-2024,West,38895.3146,18496.47391,4236.740509,9505.441353,2516.637661
28-01-2024,North,39081.02055,16061.74634,4143.214028,11717.00684,4472.512962
28-01-2024,South,27163.25436,11135.57592,6357.865978,10203.07701,5089.273567
28-01-2024,East,30403.27002,18521.815,5759.534194,10609.37972,5506.614411
28-01-2024,West,28069.65732,11340.15228,3143.913382,12551.37256,4481.238205
29-01-2024,North,34081.59536,12129.64162,3681.857378,5145.446657,3402.350235
29-01-2024,South,31798.35374,13922.44045,5187.37461,14041.58694,3393.021868
29-01-2024,East,30279.78978,17836.53013,4982.713912,11220.867,5449.454835
29-01-2024,West,38990.41247,11470.73481,7632.938126,9921.162931,3032.977553
30-01-2024,North,29182.71512,19800.32575,5463.09047,8287.516103,4533.603417
30-01-2024,South,24802.91238,10758.63328,3644.39861,6280.45839,2607.610774
30-01-2024,East,22776.54345,16408.74745,3909.400422,8456.672833,5587.15364
30-01-2024,West,29479.23281,16675.57739,3861.599356,6922.890188,2163.474465
31-01-2024,North,23378.70126,12785.90339,3885.052421,5887.025338,2482.543484
31-01-2024,South,29215.57536,12063.33718,4821.349305,10034.17271,4761.579315
31-01-2024,East,20786.2428,17994.10399,6139.501947,5817.590319,5494.314496
31-01-2024,West,38417.44801,10610.7796,4384.388241,13062.0128,4993.038762
01-02-2024,North,23690.42039,12093.49323,4852.360514,9845.229852,4473.019086
01-02-2024,South,27378.27279,14625.34716,6737.354691,5366.832029,3009.747777
01-02-2024,East,34266.99172,18952.06838,5558.387211,10321.13485,2428.688045
01-02-2024,West,28948.24734,15326.17266,4212.352518,7692.432309,3509.136652
02-02-2024,North,20401.42396,13220.79166,4057.240035,8274.973522,2479.048527
02-02-2024,South,37810.54561,15935.92454,6395.511596,12891.71239,3993.768796
02-02-2024,East,21738.40576,15371.06542,5934.20559,12454.39474,3726.638185
02-02-2024,West,22551.60606,12837.75906,4815.411482,11459.17241,4283.113219
03-02-2024,North,27121.93452,19865.15249,6028.874097,7372.267917,2407.12989
03-02-2024,South,23057.18278,12459.57728,3803.406866,6865.670241,3140.380675
03-02-2024,East,23467.47191,18967.65425,3401.168728,10245.1139,3641.587308
03-02-2024,West,39647.57234,11120.38902,4989.277995,14694.70433,5462.028504
04-02-2024,North,36341.44142,12579.02827,3854.437937,11686.4322,5717.503957
04-02-2024,South,31135.25786,15716.12689,4399.895468,12694.92933,2748.174994
04-02-2024,East,26473.58473,14254.36439,5538.051893,7424.097324,2459.347299
04-02-2024,West,32212.40085,12886.30553,5906.191107,6543.627153,3924.560407
05-02-2024,North,30651.78865,10518.23537,4683.021391,6344.146769,2253.499882
05-02-2024,South,39799.20465,13223.53845,7049.372229,7546.406548,4726.010889
05-02-2024,East,35204.5572,15956.38741,5357.880943,9118.409141,3395.473066
05-02-2024,West,38590.58288,18306.19408,7825.134553,6242.972235,4923.469901
06-02-2024,North,38766.80914,11812.33066,3332.481337,12411.20649,4297.892453
06-02-2024,South,36836.57554,11397.72377,6976.336559,7016.2732,2654.623771
06-02-2024,East,23285.31596,18145.7472,6325.986103,10230.65425,3435.321936
06-02-2024,West,37544.01082,13924.45107,7082.997197,9391.349086,3507.777718
07-02-2024,North,29253.59571,13013.77874,6738.046901,10027.2039,2928.850781
07-02-2024,South,37991.49147,13838.91221,5717.764306,14064.72111,4496.951984
07-02-2024,East,22337.96081,19398.32124,6138.540265,8349.056147,2557.088291
07-02-2024,West,35880.50379,16200.72756,5667.30546,13938.92583,5154.388845
08-02-2024,North,23033.49759,13117.22068,4242.445699,12439.46293,2134.129739
08-02-2024,South,31397.7937,17624.58686,7383.828184,8420.817487,5285.029219
08-02-2024,East,22212.63474,18464.52292,3637.443312,8972.872906,5189.181463
08-02-2024,West,22998.34855,12292.51395,6611.262842,12200.36537,4564.590532
09-02-2024,North,33878.96889,15427.24443,4258.995295,8456.959935,2726.390867
09-02-2024,South,38169.01123,15833.91795,5004.257084,9620.058036,5789.133358
09-02-2024,East,23067.02806,15862.29832,5529.443394,11114.54235,2072.440735
09-02-2024,West,37442.47818,19321.18282,5825.665918,11966.50824,5689.997525
10-02-2024,North,34144.77269,11525.39043,5881.441801,11067.15046,3696.522685
10-02-2024,South,34728.88471,19343.67015,7627.842565,9508.393714,2452.952183
10-02-2024,East,39696.82398,18388.98086,3623.313406,14208.41883,5479.585448
10-02-2024,West,30376.76114,15912.75436,4995.013519,5547.616388,3340.788967
11-02-2024,North,36057.06897,10046.32023,4667.495858,8981.686936,4149.582412
11-02-2024,South,38397.11233,13463.45994,4734.766009,12375.01248,3808.871764
11-02-2024,East,24492.09646,14524.39516,3704.285102,6763.869865,3993.471091
11-02-2024,West,28378.50899,19148.45901,4811.969496,10805.8835,4529.057152
12-02-2024,North,20261.88913,16635.37372,3890.179834,14610.70317,2594.650911
12-02-2024,South,28292.48247,10853.49668,7984.371259,10021.9501,4381.540069
12-02-2024,East,21341.52955,17499.6047,4049.527965,13980.54289,2820.558562
12-02-2024,West,23813.75441,10365.49668,5360.334726,10648.41133,2262.834558
13-02-2024,North,35510.55233,14532.88835,5621.951347,9407.627469,3603.052244
13-02-2024,South,31192.80663,11552.40246,3909.640652,13617.85621,5784.461849
13-02-2024,East,27466.18633,12707.44673,6219.997716,9087.341711,2101.545423
13-02-2024,West,23123.05195,17159.72229,6294.61971,5270.959925,2887.888648
14-02-2024,North,24621.49593,16718.92744,3098.552689,6041.08582,5199.664341
14-02-2024,South,23570.89324,16527.46108,4190.913905,5994.413928,2972.688764
14-02-2024,East,34445.33864,18556.96468,7151.099323,8971.835296,4672.340546
14-02-2024,West,24099.68591,12931.4773,7481.679093,5130.019235,2342.034123
15-02-2024,North,24157.7251,10265.32204,3907.177175,10830.41561,3685.698202
15-02-2024,South,37853.43422,18174.43562,4709.086758,7594.234334,3518.769633
15-02-2024,East,31805.89885,12680.63641,6120.744539,9094.116522,4208.188723
15-02-2024,West,28722.53058,12944.6576,7742.266535,12636.05794,2560.452703
16-02-2024,North,37369.35952,14874.31198,7472.761134,12998.55256,3700.854018
16-02-2024,South,20449.38617,12686.77359,5708.171073,11334.7822,3031.550742
16-02-2024,East,22787.12148,18349.30237,7922.010904,10256.90182,2686.717143
16-02-2024,West,25446.14653,10183.90677,7571.494033,6177.510829,4306.065902
17-02-2024,North,25481.10441,15541.78003,6257.101942,13297.41804,2825.685087
17-02-2024,South,20219.91657,11368.8563,7500.093209,13738.90078,4389.652409
17-02-2024,East,32010.33721,16650.36675,3876.856393,14144.11946,3675.0821
17-02-2024,West,27662.77056,15189.17705,3234.829834,6662.833688,4952.134466
18-02-2024,North,21655.97336,16031.52109,4226.745548,8892.95614,3154.774947
18-02-2024,South,27113.45433,17190.45905,4485.608578,10664.0464,3904.201609
18-02-2024,East,33273.42331,19368.29739,6662.860486,7149.403786,2124.73254
18-02-2024,West,25245.28089,15950.77931,3257.129067,9963.662472,4387.371396
19-02-2024,North,26684.87782,17709.12204,3532.991266,5751.377817,4912.755025
19-02-2024,South,29909.82632,16884.02396,5174.136693,7464.020332,5276.409271
19-02-2024,East,35988.31758,16946.96471,4360.725686,10902.30667,3443.895588
19-02-2024,West,21831.64147,19173.13575,3684.093155,14502.37354,3784.023092
20-02-2024,North,23702.65858,15419.00947,7364.729179,12322.24886,5226.244591
20-02-2024,South,33175.66733,16922.76565,7245.978258,7496.680089,3957.699855
20-02-2024,East,24424.18884,19876.68008,7720.296698,5394.268114,4822.30069
20-02-2024,West,38504.96635,11805.75345,5839.726153,14154.88298,2135.783914
21-02-2024,North,33948.40534,12973.49007,7621.980977,14710.58245,5777.065956
21-02-2024,South,29484.28433,18620.42651,7222.746993,8191.004732,5315.661897
21-02-2024,East,20740.15269,15962.69878,4150.044186,6205.668858,2307.812807
21-02-2024,West,33925.77552,13398.74964,6623.833858,5653.563408,3261.161351
22-02-2024,North,30789.82585,17907.23165,4593.762515,11258.91376,5543.910993
22-02-2024,South,32317.26376,12329.59475,3122.003908,13700.98874,2085.077643
22-02-2024,East,37494.03345,15289.37134,7695.338493,12987.83236,5991.736442
22-02-2024,West,27014.23631,17671.88289,5009.654568,9798.756203,4510.021853
23-02-2024,North,37473.54228,19840.83469,6841.367069,9177.667822,3685.428009
23-02-2024,South,34751.64603,12387.77146,3552.370566,8546.221576,3148.955967
23-02-2024,East,25926.16241,12336.07751,3210.465948,5178.739347,5950.889559
23-02-2024,West,28555.46267,13843.26647,6398.236413,7182.538879,5799.844736
24-02-2024,North,35726.90029,10894.11002,5087.903879,13791.18308,5778.928089
24-02-2024,South,29348.03022,16134.11389,3835.16973,14911.68626,2926.686806
24-02-2024,East,38854.63548,16496.46649,6038.683974,10126.88511,2922.679247
24-02-2024,West,23530.56064,12204.86209,3932.191311,12795.84474,3400.501037
25-02-2024,North,21156.85353,19691.0263,7418.929425,14277.52283,5979.631291
25-02-2024,South,23477.90498,13962.42019,6791.192379,11960.20618,2615.583625
25-02-2024,East,36316.6625,12244.40572,4119.088074,10369.74423,4371.759739
25-02-2024,West,31601.72416,10914.86837,7387.304313,7656.000426,2518.059685
26-02-2024,North,37774.9616,19556.51498,7310.638086,13095.16075,4620.967923
26-02-2024,South,31017.14741,10869.8676,5042.266065,8726.88517,3039.015135
26-02-2024,East,34468.40227,14958.75735,3405.23108,7201.832019,4733.035055
26-02-2024,West,21522.61719,18512.06914,5475.732635,9805.865773,4369.631139
27-02-2024,North,36493.61932,13478.09208,6390.080763,10657.31964,3068.113081
27-02-2024,South,37572.59973,17974.26022,6292.259173,13505.81729,5469.176804
27-02-2024,East,34167.25953,18370.13328,6487.357308,11801.40772,4474.445513
27-02-2024,West,35054.33279,11586.05105,7404.353796,13718.43528,2116.989132
28-02-2024,North,36516.33501,11288.69867,4675.594271,12435.08256,2643.039584
28-02-2024,South,36359.34048,18321.34178,5537.338669,5063.858717,3148.152533
28-02-2024,East,32338.53837,19811.86178,6159.067635,7598.035811,4536.022812
28-02-2024,West,30799.70759,17798.45395,3534.903194,12610.27903,4165.066315
29-02-2024,North,39259.84008,13418.72166,6163.109466,14320.28106,2410.038912
29-02-2024,South,38744.56974,16878.85722,3339.185296,8009.635669,4832.688355
29-02-2024,East,21347.01203,15821.7046,4729.415285,11209.15518,2182.968135
29-02-2024,West,37430.73612,19734.88969,7844.389276,12496.51832,2520.344961
01-03-2024,North,45714.84309,10245.86916,3110.617758,8236.102191,3954.572762
01-03-2024,South,46030.59286,16832.95377,5229.513532,7736.266663,5988.498001
01-03-2024,East,37080.71386,14513.87024,3818.119106,12948.09549,4774.728903
01-03-2024,West,31740.00993,10823.81046,6402.49651,11545.11214,3093.038108
02-03-2024,North,50722.45262,11510.57892,5161.674005,14436.1592,3678.909268
02-03-2024,South,42601.67464,13975.94398,4371.076012,14839.77648,3637.336025
02-03-2024,East,49246.5793,12299.54606,4065.52352,5311.340829,4606.667302
02-03-2024,West,35581.68494,18643.5825,5366.049533,14681.93428,2742.102063
03-03-2024,North,48584.20237,17765.96853,6854.609223,13447.83228,5044.095964
03-03-2024,South,42281.72836,11312.44878,3162.630897,14208.47848,4466.601258
03-03-2024,East,46709.96957,14815.22352,3586.540945,6251.857922,4742.261149
03-03-2024,West,37187.95327,12005.24727,5457.972734,5642.089371,4327.885608
04-03-2024,North,32993.82852,17975.59101,4551.809795,9552.201491,2046.48216
04-03-2024,South,27883.61908,13924.93556,5399.694174,11000.20548,3166.650315
04-03-2024,East,44069.52904,18601.22397,6899.254944,5396.188253,3922.027789
04-03-2024,West,28728.18464,12420.45016,7933.312966,6424.955429,3995.552614
05-03-2024,North,42072.04909,17024.64971,5798.243417,5097.708474,3305.845233
05-03-2024,South,39460.50273,10878.66499,4753.134656,5332.031088,2314.313989
05-03-2024,East,36320.00518,11327.15754,5837.704241,11894.64969,5202.346796
05-03-2024,West,31203.90635,11674.82582,3522.839202,11364.3025,4825.902906
06-03-2024,North,26821.23977,19362.12246,3259.856418,10412.96335,4836.242078
06-03-2024,South,48645.19722,17140.86932,7008.640415,8394.501925,5259.300455
06-03-2024,East,28082.98601,18948.16656,5737.961881,13172.9777,3809.273138
06-03-2024,West,42733.02008,15264.02661,6657.947609,5816.29982,2241.408336
07-03-2024,North,32424.68408,11595.4468,7358.917833,7192.139874,5903.461023
07-03-2024,South,34759.29059,11821.17916,6948.492536,11587.07776,3992.782866
07-03-2024,East,40439.45232,17192.01778,4142.273707,14963.33916,5899.172649
07-03-2024,West,42908.46785,11995.42451,6401.141212,5721.98409,2122.610009
08-03-2024,North,32699.7551,14626.22957,7341.362527,12271.6907,4970.826085
08-03-2024,South,37062.8267,13459.34993,4855.193815,14876.49564,2160.436766
08-03-2024,East,48542.8189,15786.75409,5193.077096,12252.5766,3946.675766
08-03-2024,West,48709.00419,19007.01864,5108.604634,7768.277972,4369.401314
09-03-2024,North,49721.44699,12106.62189,6114.832918,11315.6022,4932.45209
09-03-2024,South,29420.75981,17158.24965,7545.162603,6796.831089,2950.1733
09-03-2024,East,51256.27245,11809.76953,7271.925467,9922.778564,2988.924298
09-03-2024,West,48639.49743,14453.05255,5574.08677,8592.333694,4371.803406
10-03-2024,North,30251.62069,13910.81537,7847.061612,7581.334327,4626.946658
10-03-2024,South,34454.94167,17734.73126,3654.368304,14698.21045,3815.158166
10-03-2024,East,32137.31205,10734.96747,3848.789525,10197.73949,3348.012706
10-03-2024,West,47550.96751,14308.87524,4243.571363,11171.44987,4827.108868
11-03-2024,North,30343.08961,11676.19216,3183.357135,12364.02015,4655.21811
11-03-2024,South,38340.40277,18441.70449,7028.350765,10853.54364,5473.085122
11-03-2024,East,31351.87146,11119.19619,4348.748058,5570.868561,4124.678112
11-03-2024,West,50351.748,10393.43541,3610.54957,9521.990283,5735.50007
12-03-2024,North,34220.05873,15072.34809,3207.864295,6483.43201,5946.520492
12-03-2024,South,51093.08611,10049.39981,7759.058927,11391.19938,5471.673178
12-03-2024,East,37823.23625,15155.96029,5444.232901,11668.64258,2558.605019
12-03-2024,West,26779.31334,13079.29942,6523.403814,7018.534521,4693.729733
13-03-2024,North,51217.7132,10939.00716,6363.010591,9437.502193,5472.569018
13-03-2024,South,30605.89453,16926.25952,7190.576448,14446.14219,4732.992113
13-03-2024,East,38926.54386,16178.4724,7344.524922,10706.09747,2121.548239
13-03-2024,West,50204.66608,16895.26751,6382.566929,7156.751524,4635.541881
14-03-2024,North,36240.47455,16512.32977,3532.965152,11578.45305,5997.654903
14-03-2024,South,27253.51301,19771.74184,5034.539804,13707.5345,5129.541936
14-03-2024,East,40742.42279,17384.49209,7392.577807,9041.403217,3308.132646
14-03-2024,West,43357.42802,18078.45942,6811.425674,12978.13649,3742.333259
15-03-2024,North,47263.68962,11202.09055,5722.44549,5057.586605,3298.34332
15-03-2024,South,35527.99991,13961.72692,6477.336033,8885.581013,3794.77449
15-03-2024,East,32176.1474,13732.51792,4136.348136,5731.959238,4413.794374
15-03-2024,West,43373.53276,16194.90346,5317.470219,8797.857802,5453.334598
16-03-2024,North,39496.12641,14791.81878,3128.210329,8412.478276,3520.782475
16-03-2024,South,36369.3923,15801.72369,5668.012734,11079.05093,5059.533046
16-03-2024,East,47137.62921,17181.23076,7777.61848,5182.325827,2783.111943
16-03-2024,West,26196.63475,16474.74714,7490.152745,7434.822966,5708.138179
17-03-2024,North,27566.95215,19344.36027,4758.113436,6014.208284,3943.487037
17-03-2024,South,32676.19076,12848.72902,4536.449825,13030.25898,4156.645107
17-03-2024,East,34094.00018,16103.33783,6580.753371,7726.240007,3654.196406
17-03-2024,West,29169.03843,11811.4935,6405.58927,6814.383477,4100.653535
18-03-2024,North,44435.2028,11068.76923,5836.561098,7565.627837,5851.707501
18-03-2024,South,38572.18681,18059.9255,5751.132711,5434.125329,4532.605502
18-03-2024,East,50736.4869,16016.1182,7095.944297,13842.06463,2912.319088
18-03-2024,West,31513.16584,16109.80989,5055.142349,13398.61303,5600.092494
19-03-2024,North,35188.95586,12368.70559,6902.627576,7748.060355,5290.457274
19-03-2024,South,37017.19459,16675.49899,3477.676569,11238.59325,3807.070715
19-03-2024,East,41251.82004,11680.14208,6684.368725,13627.97078,2866.9592
19-03-2024,West,28488.57844,10236.38586,6209.857502,11070.94036,4186.789651
20-03-2024,North,32030.6245,13909.05996,5972.381676,9967.668589,5951.142081
20-03-2024,South,29547.43357,16951.44554,5021.593841,9281.996149,4870.391063
20-03-2024,East,44003.33993,19912.55994,3641.971447,6041.096494,4897.355269
20-03-2024,West,41038.05984,12741.60667,3397.096845,5856.582496,5576.763499
21-03-2024,North,30988.55044,13233.71562,4133.282011,8549.963058,2277.695371
21-03-2024,South,39495.55456,10676.12564,7001.782539,7337.120819,4160.047658
21-03-2024,East,48882.05628,16508.77369,5664.788933,8243.337531,3332.007652
21-03-2024,West,43406.66084,19941.39361,6309.195949,10577.83417,4922.602041
22-03-2024,North,38095.34592,10601.42343,5811.484079,14576.25285,2701.211769
22-03-2024,South,43940.12716,12009.33689,5679.138422,5966.764496,3801.483745
22-03-2024,East,45660.24655,13475.71524,6324.558622,12954.49961,5708.711278
22-03-2024,West,32100.69413,13993.15916,3762.080067,14924.83502,5708.003872
23-03-2024,North,40038.88539,18420.33294,5604.789886,11235.85688,2356.497728
23-03-2024,South,45637.03093,11277.13484,7130.338151,12820.28088,4834.978791
23-03-2024,East,26940.16989,13031.28356,4315.56285,8601.364075,2350.570987
23-03-2024,West,50360.9034,15538.02241,4527.621553,8969.815171,3788.810162
24-03-2024,North,41615.45267,15156.79428,7596.959866,9969.634829,5968.632059
24-03-2024,South,48137.0489,12085.10514,7652.976073,6163.663979,5269.798834
24-03-2024,East,35896.20563,18779.7432,7340.283451,13059.254,5160.121745
24-03-2024,West,33921.65762,10809.19283,5014.900894,6735.24515,4779.804356
25-03-2024,North,34998.59289,19756.10201,6204.860387,13224.80564,2530.098691
25-03-2024,South,48412.37654,19227.57191,5435.309594,11062.52938,5059.239204
25-03-2024,East,30545.80431,15025.66076,4993.315139,6463.739922,3470.137689
25-03-2024,West,27772.48004,10258.11907,3675.831446,14631.15112,4198.118144
26-03-2024,North,51111.37619,14324.97878,4559.080665,10061.41863,3758.046755
26-03-2024,South,28747.28179,16408.26315,4080.190913,11195.87955,4600.80437
26-03-2024,East,29952.64618,10613.49627,6903.80793,9598.004238,2232.655182
26-03-2024,West,51866.52425,10577.80561,6475.176144,14836.78925,2956.720417
27-03-2024,North,29698.48359,11213.84939,4516.375738,6010.45811,4768.645367
27-03-2024,South,27619.58675,15094.22128,7983.484269,13139.7027,4460.877753
27-03-2024,East,33962.59414,16238.95836,5635.20732,9260.833839,2522.841507
27-03-2024,West,49051.7096,14497.84649,3973.112559,8677.593509,3656.51901
28-03-2024,North,47515.98528,17336.14381,6846.524468,5110.312644,3664.615993
28-03-2024,South,38514.94794,10191.92277,4299.066044,12602.89823,2548.438823
28-03-2024,East,39918.06342,12152.01872,3060.603873,7412.014576,5903.49502
28-03-2024,West,46839.96491,19595.76644,5439.27022,6097.361987,4191.837956
29-03-2024,North,37813.8107,18443.57083,3490.412904,9882.41137,2600.194659
29-03-2024,South,34441.5741,17373.57077,5380.090647,8758.882851,3577.905114
29-03-2024,East,37945.61598,17850.16544,7460.423445,14553.34687,5147.613545
29-03-2024,West,34200.57929,16881.34706,5188.01562,7546.70622,5363.486318
30-03-2024,North,26999.08507,19017.61992,5307.387323,11372.01477,4637.415689
